Ticker,DVS Valor,DVS Qualid.,DVS Cresc.,DVS Divid.,DVS Baixa Alav.,DVS Baixa Vol.,DVS Total,Ret 1M,Ret 3M,Ret 1A,Ret 2A,Ret 5A,Ret 10A
"DXCO3","51.54","32.48","12.11","0.62","8.62","100.00","19.08","1.23","1.94","-28.26","-25.10","-56.39","26.55"
"KLBN3","39.29","45.05","35.81","10.37","0.00","100.00","19.05","1.90","-3.60","-11.56","-2.31","-4.87","-3.80"
"LJQQ3","26.32","0.00","35.89","15.89","90.46","100.00","17.43","18.83","1.15","-35.99","-38.78","-81.73","0.00"
"BRBI11","10.91","70.00","28.57","7.97","30.00","100.00","17.14","10.67","10.81","24.93","42.74","0.00","0.00"
"SRNA3","30.01","36.80","57.37","0.00","0.00","100.00","14.65","1.08","4.99","36.92","12.96","0.00","0.00"
"VVEO3","37.41","0.00","28.57","0.00","57.90","100.00","14.57","16.13","-11.48","-51.79","-93.78","0.00","0.00"
"ORVR3","13.39","39.39","55.69","0.00","32.76","100.00","13.42","7.79","7.76","14.47","45.58","0.00","0.00"
"PETZ3","15.60","0.00","40.90","67.78","80.00","100.00","13.33","-0.26","-9.35","-18.32","-31.17","-74.72","0.00"
"AMOB3","56.93","0.00","28.57","0.00","0.00","100.00","12.75","17.19","21.94","0.00","0.00","0.00","0.00"
"HYPE3","38.64","27.66","16.72","6.47","0.00","100.00","10.45","0.53","-19.42","-18.62","-35.07","-14.72","94.17"
"BHIA3","54.94","0.00","18.28","0.00","0.00","100.00","10.21","48.41","6.87","-31.71","-77.89","-99.09","-94.93"
"MRFG3","30.15","29.87","28.03","12.42","0.00","100.00","8.86","12.01","4.76","112.02","321.70","151.15","513.00"
"NTCO3","18.16","0.00","14.22","0.00","80.00","100.00","7.21","2.13","4.54","-22.46","-23.83","-78.32","14.75"
"MLAS3","42.77","0.00","28.57","0.00","0.00","100.00","5.67","6.93","-8.47","-40.66","-64.82","0.00","0.00"
"CVCB3","6.74","0.00","40.62","0.00","80.00","100.00","5.46","-0.49","-13.98","-2.40","-11.74","-88.39","-86.21"
"JALL3","37.89","0.00","33.34","0.00","0.00","100.00","3.94","2.10","-30.14","-56.09","-66.83","0.00","0.00"
"TUPY3","28.20","0.00","41.10","71.15","0.00","100.00","3.82","-7.68","-22.43","-46.18","-46.25","-3.26","15.11"
